University,Course,CourseLink,Logo
SIT,Aerospace Engineering,https://www.singaporetech.edu.sg/undergraduate-programmes/engineering/aerospace-engineering,SIT.jpg
SIT,Air Transport Management,https://www.singaporetech.edu.sg/undergraduate-programmes/design-and-specialised-businesses/air-transport-management,SIT.jpg
SIT,Aircraft Systems Engineering,https://www.singaporetech.edu.sg/undergraduate-programmes/engineering/aircraft-systems-engineering,SIT.jpg
SIT,Chemical Engineering (Newcastle University),https://www.singaporetech.edu.sg/undergraduate-programmes/chemical-engineering-and-food-technology/chemical-engineering-nu,SIT.jpg
SIT,Chemical Engineering (Technical University of Munich),https://www.singaporetech.edu.sg/undergraduate-programmes/chemical-engineering-and-food-technology/chemical-engineering-tum,SIT.jpg
SIT,Civil Engineering,https://www.singaporetech.edu.sg/undergraduate-programmes/engineering/civil-engineering,SIT.jpg
SIT,Computer Engineering,https://www.singaporetech.edu.sg/undergraduate-programmes/engineering-infocomm-technology/computer-engineering,SIT.jpg
SIT,Computer Science in Interactive Media and Game Development,https://www.singaporetech.edu.sg/undergraduate-programmes/infocomm-technology/computer-science-interactive-media-and-game-development,SIT.jpg
SIT,Computer Science in Real-Time Interactive Simulation,https://www.singaporetech.edu.sg/undergraduate-programmes/infocomm-technology/computer-science-real-time-interactive-simulation,SIT.jpg
SIT,Computing Science,https://www.singaporetech.edu.sg/undergraduate-programmes/infocomm-technology/computing-science,SIT.jpg
SIT,Diagnostic Radiography,https://www.singaporetech.edu.sg/undergraduate-programmes/health-and-social-sciences/diagnostic-radiography,SIT.jpg
SIT,Dietetics and Nutrition,https://www.singaporetech.edu.sg/undergraduate-programmes/health-and-social-sciences/dietetics-and-nutrition,SIT.jpg
SIT,Digital Art and Animation,https://www.singaporetech.edu.sg/undergraduate-programmes/infocomm-technology/digital-art-and-animation,SIT.jpg
SIT,Digital Communications and Integrated Media,https://www.singaporetech.edu.sg/undergraduate-programmes/design-and-specialised-businesses/digital-communications-and-integrated-media,SIT.jpg
SIT,Electrical Power Engineering,https://www.singaporetech.edu.sg/undergraduate-programmes/engineering/electrical-power-engineering,SIT.jpg
SIT,Electronics and Data Engineering,https://www.singaporetech.edu.sg/undergraduate-programmes/engineering/electronics-and-data-engineering,SIT.jpg
SIT,Food Business Management (Baking and Pastry Arts),https://www.singaporetech.edu.sg/undergraduate-programmes/design-and-specialised-businesses/food-business-management-baking-and-pastry-arts,SIT.jpg
SIT,Food Business Management (Culinary Arts),https://www.singaporetech.edu.sg/undergraduate-programmes/design-and-specialised-businesses/food-business-management-culinary-arts,SIT.jpg
SIT,Food Technology,https://www.singaporetech.edu.sg/undergraduate-programmes/chemical-engineering-and-food-technology/food-technology,SIT.jpg
SIT,Hospitality Business,https://www.singaporetech.edu.sg/undergraduate-programmes/design-and-specialised-businesses/hospitality-business,SIT.jpg
SIT,Information and Communications Technology (Information Security),https://www.singaporetech.edu.sg/undergraduate-programmes/infocomm-technology/information-and-communications-technology-information-security,SIT.jpg
SIT,Information and Communications Technology (Software Engineering),https://www.singaporetech.edu.sg/undergraduate-programmes/infocomm-technology/information-and-communications-technology-software-engineering,SIT.jpg
SIT,Marine Engineering,https://www.singaporetech.edu.sg/undergraduate-programmes/engineering/marine-engineering,SIT.jpg
SIT,Mechanical Design and Manufacturing Engineering,https://www.singaporetech.edu.sg/undergraduate-programmes/engineering/mechanical-design-and-manufacturing-engineering,SIT.jpg
SIT,Mechanical Engineering,https://www.singaporetech.edu.sg/undergraduate-programmes/engineering/mechanical-engineering,SIT.jpg
SIT,Mechatronics Systems,https://www.singaporetech.edu.sg/undergraduate-programmes/engineering/mechatronics-systems,SIT.jpg
SIT,Naval Architecture,https://www.singaporetech.edu.sg/undergraduate-programmes/engineering/naval-architecture,SIT.jpg
SIT,Nursing,https://www.singaporetech.edu.sg/undergraduate-programmes/health-and-social-sciences/nursing,SIT.jpg
SIT,Occupational Therapy,https://www.singaporetech.edu.sg/undergraduate-programmes/health-and-social-sciences/occupational-therapy,SIT.jpg
